,Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Age,work_experience,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label
0,5008827,M,Y,Y,0,180000.0,Pensioner,Higher education,Married,House / apartment,51.43013698630137,-10.088698630136987,1,0,0,0,,2,1
1,5009744,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.14246575342466,1.6054794520547946,1,1,1,0,,2,1
2,5009746,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,43.94614265965278,1.6054794520547946,1,1,1,0,,2,1
3,5009749,F,Y,N,0,191399.3262295082,Commercial associate,Higher education,Married,House / apartment,37.14246575342466,1.6054794520547946,1,1,1,0,,2,1
4,5009752,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.14246575342466,1.6054794520547946,1,1,1,0,,2,1
5,5009753,F,Y,N,0,315000.0,Pensioner,Higher education,Married,House / apartment,37.14246575342466,1.6054794520547946,1,1,1,0,,2,1
6,5009754,F,Y,N,0,315000.0,Commercial associate,Higher education,Married,House / apartment,37.14246575342466,1.6054794520547946,1,1,1,0,,2,1
7,5009894,F,N,N,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,60.64109589041096,-10.088698630136987,1,0,0,0,,2,1
8,5010864,M,Y,Y,1,380250.0,Commercial associate,Secondary / secondary special,Married,House / apartment,49.78904109589041,1.8575342465753424,1,0,1,1,Core staff,3,1
9,5010868,M,Y,Y,1,380250.0,Pensioner,Secondary / secondary special,Married,House / apartment,49.78904109589041,1.8575342465753424,1,0,1,1,Core staff,3,1
10,5010869,M,Y,Y,1,380250.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,49.78904109589041,1.8575342465753424,1,0,1,1,Core staff,1,1
11,5018498,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,51.917808219178085,2.745205479452055,1,1,1,0,Cooking staff,2,1
12,5018501,F,Y,Y,0,191399.3262295082,Working,Secondary / secondary special,Married,House / apartment,51.917808219178085,2.745205479452055,1,1,1,0,Cooking staff,2,1
13,5018503,F,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,51.917808219178085,2.745205479452055,1,1,1,0,Cooking staff,2,1
14,5021303,M,N,N,1,380250.0,Pensioner,Higher education,Married,With parents,24.4027397260274,2.5013698630136987,1,0,0,1,,3,1
15,5021310,M,N,Y,0,270000.0,Working,Secondary / secondary special,Married,House / apartment,46.29041095890411,0.6794520547945205,1,0,0,0,Laborers,2,1
16,5021314,M,N,Y,0,270000.0,Working,Secondary / secondary special,Single / not married,House / apartment,46.29041095890411,0.6794520547945205,1,0,0,0,Laborers,2,1
17,5021430,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,51.8,6.767123287671233,1,0,0,0,Sales staff,1,1
18,5021431,F,N,Y,0,126000.0,Commercial associate,Higher education,Single / not married,House / apartment,51.8,6.767123287671233,1,0,0,0,Sales staff,1,1
19,5021998,M,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,51.679452054794524,4.504109589041096,1,0,0,1,,2,1
20,5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,35.0986301369863,11.854794520547944,1,0,0,0,,1,1
21,5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,32.93698630136986,4.586301369863014,1,0,0,1,Laborers,2,1
22,5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,48.76712328767123,2.9753424657534246,1,0,0,0,Accountants,2,1
23,5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,33.24657534246575,2.5342465753424657,1,0,0,0,Sales staff,4,1
24,5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,43.76986301369863,2.33972602739726,1,0,0,0,Laborers,2,1
25,5024213,F,Y,Y,0,380250.0,Commercial associate,Higher education,Married,House / apartment,43.01917808219178,0.5068493150684932,1,0,1,0,,2,1
26,5024916,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.81369863013698,-10.088698630136987,1,0,1,0,,2,1
27,5024917,F,N,Y,0,191399.3262295082,Pensioner,Secondary / secondary special,Married,House / apartment,59.81369863013698,-10.088698630136987,1,0,1,0,,2,1
28,5025127,F,N,Y,0,292500.0,Working,Secondary / secondary special,Married,House / apartment,30.44109589041096,9.178082191780822,1,0,0,0,High skill tech staff,2,1
29,5028580,M,N,N,0,380250.0,Commercial associate,Higher education,Married,House / apartment,54.78356164383562,1.893150684931507,1,0,0,0,Managers,2,1
30,5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,32.94794520547945,13.068493150684931,1,0,0,0,Cleaning staff,2,1
31,5029311,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,59.93424657534246,-10.088698630136987,1,0,1,1,,2,1
32,5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,29.44931506849315,6.558904109589041,1,0,0,0,Laborers,1,1
33,5033514,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,43.704109589041096,1.0520547945205478,1,1,0,0,Sales staff,3,1
34,5033916,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,35.657534246575345,9.991780821917809,1,0,0,0,,2,1
35,5036469,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,55.706849315068496,4.235616438356164,1,0,0,0,Drivers,2,1
